batch_index,batch_size,status,latency_sec,peak_memory_mb,process_rss_mb,ttft_sec,throughput_tps,decode_tps,output_tokens,total_tokens,error
0,1,ok,4.182939880000049,6052.0,1909.4921875,4.182939880000049,49.96485868689979,0.0,209.0,220.0,
1,1,ok,2.6656265130000065,6052.0,1909.4921875,2.6656265130000065,56.271949302899074,0.0,150.0,165.0,
2,1,ok,4.002778275999958,6052.0,1909.4921875,4.002778275999958,52.46356043729118,0.0,210.0,221.0,
3,1,ok,4.270388929000092,6052.0,1909.4921875,4.270388929000092,48.94167802391179,0.0,209.0,225.0,
4,1,ok,4.297965722000072,6052.0,1909.4921875,4.297965722000072,44.90496492610156,0.0,193.0,208.0,
5,1,ok,4.3367476239999405,6052.0,1909.4921875,4.3367476239999405,45.656334462317034,0.0,198.0,216.0,
6,1,ok,4.153436438999961,6052.0,1909.4921875,4.153436438999961,49.59748464324626,0.0,206.0,222.0,
7,1,ok,2.009761701000002,6052.0,1909.4921875,2.009761701000002,55.72799996351402,0.0,112.0,127.0,
8,1,ok,4.289996610000003,6052.0,1909.4921875,4.289996610000003,52.44759389215458,0.0,225.0,245.0,
9,1,ok,4.583995234000099,6052.0,1909.4921875,4.583995234000099,49.7382716083328,0.0,228.0,247.0,
10,1,ok,4.4582347970000455,6052.0,1909.4921875,4.4582347970000455,47.328148831905914,0.0,211.0,226.0,
11,1,ok,4.356885093999949,6052.0,1909.4921875,4.356885093999949,48.42909451309079,0.0,211.0,226.0,
12,1,ok,4.125744816999941,6052.0,1909.4921875,4.125744816999941,50.6575198589174,0.0,209.0,220.0,
13,1,ok,2.623925170000007,6052.0,1909.4921875,2.623925170000007,57.166264387028846,0.0,150.0,165.0,
14,1,ok,3.946159527999953,6052.0,1909.4921875,3.946159527999953,53.21629764583671,0.0,210.0,221.0,
15,1,ok,4.127544413999999,6052.0,1909.4921875,4.127544413999999,50.63543333200825,0.0,209.0,225.0,
16,1,ok,4.307910502000027,6052.0,1909.4921875,4.307910502000027,44.80130214181474,0.0,193.0,208.0,
17,1,ok,4.313059076999934,6052.0,1909.4921875,4.313059076999934,45.907092034947105,0.0,198.0,216.0,
18,1,ok,4.432920787999933,6052.0,1909.4921875,4.432920787999933,46.470489740680456,0.0,206.0,222.0,
19,1,ok,1.9979165680000506,6052.0,1909.4921875,1.9979165680000506,56.05839692901389,0.0,112.0,127.0,
20,1,ok,4.430616240000063,6052.0,1909.4921875,4.430616240000063,50.78300349479078,0.0,225.0,245.0,
21,1,ok,4.455421496999975,6052.0,1909.4921875,4.455421496999975,51.17360953470331,0.0,228.0,247.0,
22,1,ok,4.232230457000014,6052.0,1909.4921875,4.232230457000014,49.855508140160644,0.0,211.0,226.0,
23,1,ok,4.111835960999997,6052.0,1909.4921875,4.111835960999997,51.31527667963799,0.0,211.0,226.0,
