name,display_name,stage,family,report_exists,num_samples_evaluated,parse_ok_rate,exact_match_rate,action_match_rate,avg_latency_sec,avg_throughput_tps,avg_peak_vram_mb,max_peak_vram_mb,delta_vs_pretrain_parse_ok_rate,delta_vs_pretrain_exact_match_rate,delta_vs_pretrain_action_match_rate,delta_vs_pretrain_avg_latency_sec,delta_vs_pretrain_avg_throughput_tps,model_path,report_path,notes
pretrain_base,Pretrain Base,pre_finetune,base,True,200,0.05,0.0,0.035,2.9279896438999824,25.502915957218075,6054.58,6056.0,0.0,0.0,0.0,0.0,0.0,model/Qwen_Qwen2.5-3B-Instruct,experiments/23_exp19_prepost_finetune_compare/reports/accuracy_report_pretrain_base.json,未经过机器人指令数据微调的 Qwen2.5-3B-Instruct 基座模型。
lora_full_rank4,LoRA Full r4,post_finetune,lora_rank,True,200,1.0,0.3,0.585,4.457370734970081,19.572941545309696,6082.0,6082.0,0.95,0.3,0.5499999999999999,1.529381091070099,-5.929974411908379,model/qwen2.5-3b-genesis-lora-rank-4,experiments/22_exp18_topk_scan/reports/accuracy_report_full_rank4.json,全层 LoRA rank=4 基线。
lora_rank8,LoRA r8,post_finetune,lora_rank,True,200,0.985,0.32,0.665,3.192595708064973,26.021368219763467,6112.0,6112.0,0.9349999999999999,0.32,0.63,0.2646060641649908,0.5184522625453916,output/qwen2.5-3b-genesis-lora-rank-8,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_8.json,
lora_rank16,LoRA r16,post_finetune,lora_rank,True,200,0.995,0.325,0.65,3.2545585896950526,25.762458759479326,6198.0,6198.0,0.945,0.325,0.615,0.32656894579507023,0.2595428022612509,output/qwen2.5-3b-genesis-lora-rank-16,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_16.json,
lora_rank32,LoRA r32,post_finetune,lora_rank,True,200,0.995,0.335,0.655,3.2209940101150276,25.490282598089312,6244.0,6244.0,0.945,0.335,0.62,0.2930043662150452,-0.012633359128763288,output/qwen2.5-3b-genesis-lora-rank-32,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_32.json,
lora_rank64,LoRA r64,post_finetune,lora_rank,True,200,0.995,0.33,0.635,3.1700865107749086,26.098762534838713,6616.0,6616.0,0.945,0.33,0.6,0.24209686687492615,0.5958465776206374,output/qwen2.5-3b-genesis-lora-rank-64,experiments/06_exp2_lora_rank/reports/accuracy_report_rank_64.json,
top18_rank8,Top18 r8,post_finetune,layer_select,True,200,0.995,0.305,0.58,3.372531945420014,24.73244753414855,6082.0,6082.0,0.945,0.305,0.5449999999999999,0.4445423015200318,-0.7704684230695236,output/exp18_topk_scan/top18_rank8,experiments/22_exp18_topk_scan/reports/accuracy_report_top18_rank8.json,按重要性打分选择 18 层，rank=8。
top24_rank8,Top24 r8,post_finetune,layer_select,True,200,0.99,0.31,0.59,3.688183268189896,22.82032368101386,6102.0,6102.0,0.94,0.31,0.5549999999999999,0.7601936242899137,-2.6825922762042147,output/exp18_topk_scan/top24_rank8,experiments/22_exp18_topk_scan/reports/accuracy_report_top24_rank8.json,按重要性打分选择 24 层，rank=8。
top28_rank8,Top28 r8,post_finetune,layer_select,True,200,0.99,0.31,0.59,3.774254024370039,21.684792237812854,6114.0,6114.0,0.94,0.31,0.5549999999999999,0.8462643804700565,-3.8181237194052216,output/exp18_topk_scan/top28_rank8,experiments/22_exp18_topk_scan/reports/accuracy_report_top28_rank8.json,按重要性打分选择 28 层，rank=8。
qlora,QLoRA,post_finetune,method,True,200,0.93,0.335,0.61,2.954395718184999,26.59169855627917,6068.0,6068.0,0.88,0.335,0.575,0.026406074285016512,1.0887825990610942,output/qwen2.5-3b-genesis-qlora,experiments/07_exp3_methods/reports/accuracy_report_qlora.json,
dora,DoRA,post_finetune,method,True,200,1.0,0.375,0.65,23.651489713925013,3.4217806708218808,6392.57,6394.0,0.95,0.375,0.615,20.723500070025032,-22.081135286396194,output/qwen2.5-3b-genesis-dora,experiments/07_exp3_methods/reports/accuracy_report_dora.json,
galore,GaLore,post_finetune,method,True,200,0.845,0.195,0.27,2.0287425693799377,31.607121701757087,6045.14,6056.0,0.7949999999999999,0.195,0.23500000000000001,-0.8992470745200447,6.104205744539012,output/qwen2.5-3b-genesis-galore,experiments/07_exp3_methods/reports/accuracy_report_galore.json,
